spillover_config,condition,trial,gap_fraction,G_achieved,G_random,G_oracle
centrist,Z,0,0.351219,0.915832,0.840460,1.055062
centrist,A,0,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,0,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,0,0.793094,1.010660,0.840460,1.055062
centrist,D,0,1.000000,1.055062,0.840460,1.055062
centrist,Z,1,0.306475,0.906230,0.840460,1.055062
centrist,A,1,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,1,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,1,0.793094,1.010660,0.840460,1.055062
centrist,D,1,1.000000,1.055062,0.840460,1.055062
centrist,Z,2,0.000000,0.775515,0.840460,1.055062
centrist,A,2,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,2,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,2,0.793094,1.010660,0.840460,1.055062
centrist,D,2,1.000000,1.055062,0.840460,1.055062
centrist,Z,3,0.306475,0.906230,0.840460,1.055062
centrist,A,3,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,3,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,3,0.793094,1.010660,0.840460,1.055062
centrist,D,3,1.000000,1.055062,0.840460,1.055062
centrist,Z,4,0.306475,0.906230,0.840460,1.055062
centrist,A,4,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,4,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,4,0.793094,1.010660,0.840460,1.055062
centrist,D,4,1.000000,1.055062,0.840460,1.055062
centrist,Z,5,0.000000,0.694519,0.840460,1.055062
centrist,A,5,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,5,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,5,0.793094,1.010660,0.840460,1.055062
centrist,D,5,1.000000,1.055062,0.840460,1.055062
centrist,Z,6,0.293077,0.903355,0.840460,1.055062
centrist,A,6,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,6,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,6,0.793094,1.010660,0.840460,1.055062
centrist,D,6,1.000000,1.055062,0.840460,1.055062
centrist,Z,7,0.793094,1.010660,0.840460,1.055062
centrist,A,7,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,7,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,7,0.793094,1.010660,0.840460,1.055062
centrist,D,7,1.000000,1.055062,0.840460,1.055062
centrist,Z,8,0.306475,0.906230,0.840460,1.055062
centrist,A,8,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,8,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,8,0.793094,1.010660,0.840460,1.055062
centrist,D,8,1.000000,1.055062,0.840460,1.055062
centrist,Z,9,0.231263,0.890089,0.840460,1.055062
centrist,A,9,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,9,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,9,0.793094,1.010660,0.840460,1.055062
centrist,D,9,1.000000,1.055062,0.840460,1.055062
centrist,Z,10,0.000000,0.694519,0.840460,1.055062
centrist,A,10,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,10,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,10,0.793094,1.010660,0.840460,1.055062
centrist,D,10,1.000000,1.055062,0.840460,1.055062
centrist,Z,11,0.231263,0.890089,0.840460,1.055062
centrist,A,11,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,11,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,11,0.793094,1.010660,0.840460,1.055062
centrist,D,11,1.000000,1.055062,0.840460,1.055062
centrist,Z,12,0.231263,0.890089,0.840460,1.055062
centrist,A,12,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,12,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,12,0.793094,1.010660,0.840460,1.055062
centrist,D,12,1.000000,1.055062,0.840460,1.055062
centrist,Z,13,0.793094,1.010660,0.840460,1.055062
centrist,A,13,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,13,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,13,0.793094,1.010660,0.840460,1.055062
centrist,D,13,1.000000,1.055062,0.840460,1.055062
centrist,Z,14,0.000000,0.726800,0.840460,1.055062
centrist,A,14,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,14,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,14,0.793094,1.010660,0.840460,1.055062
centrist,D,14,1.000000,1.055062,0.840460,1.055062
centrist,Z,15,0.306475,0.906230,0.840460,1.055062
centrist,A,15,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,15,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,15,0.793094,1.010660,0.840460,1.055062
centrist,D,15,1.000000,1.055062,0.840460,1.055062
centrist,Z,16,0.793094,1.010660,0.840460,1.055062
centrist,A,16,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,16,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,16,0.793094,1.010660,0.840460,1.055062
centrist,D,16,1.000000,1.055062,0.840460,1.055062
centrist,Z,17,0.000000,0.694519,0.840460,1.055062
centrist,A,17,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,17,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,17,0.793094,1.010660,0.840460,1.055062
centrist,D,17,1.000000,1.055062,0.840460,1.055062
centrist,Z,18,0.306475,0.906230,0.840460,1.055062
centrist,A,18,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,18,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,18,0.793094,1.010660,0.840460,1.055062
centrist,D,18,1.000000,1.055062,0.840460,1.055062
centrist,Z,19,0.000000,0.767455,0.840460,1.055062
centrist,A,19,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,19,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,19,0.793094,1.010660,0.840460,1.055062
centrist,D,19,1.000000,1.055062,0.840460,1.055062
centrist,Z,20,0.245415,0.893126,0.840460,1.055062
centrist,A,20,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,20,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,20,0.793094,1.010660,0.840460,1.055062
centrist,D,20,1.000000,1.055062,0.840460,1.055062
centrist,Z,21,0.306475,0.906230,0.840460,1.055062
centrist,A,21,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,21,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,21,0.793094,1.010660,0.840460,1.055062
centrist,D,21,1.000000,1.055062,0.840460,1.055062
centrist,Z,22,0.306475,0.906230,0.840460,1.055062
centrist,A,22,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,22,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,22,0.793094,1.010660,0.840460,1.055062
centrist,D,22,1.000000,1.055062,0.840460,1.055062
centrist,Z,23,0.166620,0.876217,0.840460,1.055062
centrist,A,23,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,23,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,23,0.793094,1.010660,0.840460,1.055062
centrist,D,23,1.000000,1.055062,0.840460,1.055062
centrist,Z,24,0.000000,0.812731,0.840460,1.055062
centrist,A,24,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,24,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,24,0.793094,1.010660,0.840460,1.055062
centrist,D,24,1.000000,1.055062,0.840460,1.055062
centrist,Z,25,0.231263,0.890089,0.840460,1.055062
centrist,A,25,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,25,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,25,0.793094,1.010660,0.840460,1.055062
centrist,D,25,1.000000,1.055062,0.840460,1.055062
centrist,Z,26,0.094488,0.860737,0.840460,1.055062
centrist,A,26,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,26,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,26,0.793094,1.010660,0.840460,1.055062
centrist,D,26,1.000000,1.055062,0.840460,1.055062
centrist,Z,27,0.137212,0.869906,0.840460,1.055062
centrist,A,27,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,27,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,27,0.793094,1.010660,0.840460,1.055062
centrist,D,27,1.000000,1.055062,0.840460,1.055062
centrist,Z,28,0.000000,0.726800,0.840460,1.055062
centrist,A,28,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,28,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,28,0.793094,1.010660,0.840460,1.055062
centrist,D,28,1.000000,1.055062,0.840460,1.055062
centrist,Z,29,0.000000,0.694519,0.840460,1.055062
centrist,A,29,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,29,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,29,0.793094,1.010660,0.840460,1.055062
centrist,D,29,1.000000,1.055062,0.840460,1.055062
centrist,Z,30,0.000000,0.694519,0.840460,1.055062
centrist,A,30,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,30,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,30,0.793094,1.010660,0.840460,1.055062
centrist,D,30,1.000000,1.055062,0.840460,1.055062
centrist,Z,31,0.000000,0.726800,0.840460,1.055062
centrist,A,31,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,31,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,31,0.793094,1.010660,0.840460,1.055062
centrist,D,31,1.000000,1.055062,0.840460,1.055062
centrist,Z,32,0.000000,0.726800,0.840460,1.055062
centrist,A,32,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,32,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,32,0.793094,1.010660,0.840460,1.055062
centrist,D,32,1.000000,1.055062,0.840460,1.055062
centrist,Z,33,0.000000,0.694519,0.840460,1.055062
centrist,A,33,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,33,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,33,0.793094,1.010660,0.840460,1.055062
centrist,D,33,1.000000,1.055062,0.840460,1.055062
centrist,Z,34,0.000000,0.694519,0.840460,1.055062
centrist,A,34,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,34,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,34,0.793094,1.010660,0.840460,1.055062
centrist,D,34,1.000000,1.055062,0.840460,1.055062
centrist,Z,35,0.000000,0.694519,0.840460,1.055062
centrist,A,35,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,35,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,35,0.793094,1.010660,0.840460,1.055062
centrist,D,35,1.000000,1.055062,0.840460,1.055062
centrist,Z,36,0.793094,1.010660,0.840460,1.055062
centrist,A,36,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,36,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,36,0.793094,1.010660,0.840460,1.055062
centrist,D,36,1.000000,1.055062,0.840460,1.055062
centrist,Z,37,0.000000,0.803488,0.840460,1.055062
centrist,A,37,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,37,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,37,0.793094,1.010660,0.840460,1.055062
centrist,D,37,1.000000,1.055062,0.840460,1.055062
centrist,Z,38,0.000000,0.809819,0.840460,1.055062
centrist,A,38,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,38,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,38,0.793094,1.010660,0.840460,1.055062
centrist,D,38,1.000000,1.055062,0.840460,1.055062
centrist,Z,39,0.306475,0.906230,0.840460,1.055062
centrist,A,39,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,39,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,39,0.793094,1.010660,0.840460,1.055062
centrist,D,39,1.000000,1.055062,0.840460,1.055062
centrist,Z,40,0.231263,0.890089,0.840460,1.055062
centrist,A,40,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,40,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,40,0.793094,1.010660,0.840460,1.055062
centrist,D,40,1.000000,1.055062,0.840460,1.055062
centrist,Z,41,0.231263,0.890089,0.840460,1.055062
centrist,A,41,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,41,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,41,0.793094,1.010660,0.840460,1.055062
centrist,D,41,1.000000,1.055062,0.840460,1.055062
centrist,Z,42,0.000000,0.837055,0.840460,1.055062
centrist,A,42,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,42,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,42,0.793094,1.010660,0.840460,1.055062
centrist,D,42,1.000000,1.055062,0.840460,1.055062
centrist,Z,43,0.000000,0.726800,0.840460,1.055062
centrist,A,43,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,43,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,43,0.793094,1.010660,0.840460,1.055062
centrist,D,43,1.000000,1.055062,0.840460,1.055062
centrist,Z,44,0.231263,0.890089,0.840460,1.055062
centrist,A,44,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,44,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,44,0.793094,1.010660,0.840460,1.055062
centrist,D,44,1.000000,1.055062,0.840460,1.055062
centrist,Z,45,0.793094,1.010660,0.840460,1.055062
centrist,A,45,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,45,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,45,0.793094,1.010660,0.840460,1.055062
centrist,D,45,1.000000,1.055062,0.840460,1.055062
centrist,Z,46,0.000000,0.726800,0.840460,1.055062
centrist,A,46,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,46,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,46,0.793094,1.010660,0.840460,1.055062
centrist,D,46,1.000000,1.055062,0.840460,1.055062
centrist,Z,47,0.793094,1.010660,0.840460,1.055062
centrist,A,47,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,47,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,47,0.793094,1.010660,0.840460,1.055062
centrist,D,47,1.000000,1.055062,0.840460,1.055062
centrist,Z,48,0.000000,0.694519,0.840460,1.055062
centrist,A,48,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,48,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,48,0.793094,1.010660,0.840460,1.055062
centrist,D,48,1.000000,1.055062,0.840460,1.055062
centrist,Z,49,0.000000,0.726800,0.840460,1.055062
centrist,A,49,0.306475,0.906230,0.840460,1.055062
centrist,C_CN,49,0.793094,1.010660,0.840460,1.055062
centrist,C_PP,49,0.793094,1.010660,0.840460,1.055062
